Label,DC12vDC10,DC12vDC20,DC13vDC10,DC13vDC30,DC14vDC10,DC14vDC40,DC15vDC10,DC15vDC50,DC16vDC10,DC16vDC60,DC17vDC10,DC17vDC70,DC18vDC10,DC18vDC80,DC23vDC20,DC23vDC30,DC24vDC20,DC24vDC40,DC25vDC20,DC25vDC50,DC26vDC20,DC26vDC60,DC27vDC20,DC27vDC70,DC28vDC20,DC28vDC80,DC34vDC30,DC34vDC40,DC35vDC30,DC35vDC50,DC36vDC30,DC36vDC60,DC37vDC30,DC37vDC70,DC38vDC30,DC38vDC80,DC45vDC40,DC45vDC50,DC46vDC40,DC46vDC60,DC47vDC40,DC47vDC70,DC48vDC40,DC48vDC80,DC56vDC50,DC56vDC60,DC57vDC50,DC57vDC70,DC58vDC50,DC58vDC80,DC67vDC60,DC67vDC70,DC68vDC60,DC68vDC80,DC78vDC70,DC78vDC80
PTHR11649,0.0913358678683857,0.998696127604156,0.000827002615625684,1,0.406887763384044,0.490310475900451,0.982410358434356,0.793887844363295,0.115362595492522,0.67258666685119,0.998679406703835,0.941584921399475,0.581998910221955,0.00220163219609806,0.996895775679135,0.759974899312732,0.957352130617471,0.65182244563539,0.868553435307739,0.445879230262395,1,0.986304026555725,0.974244051151313,1,1,0.305540421290576,1,1,0.203529494385902,7.06016512216675e-12,1,0.00252186252947773,1,0.00163266298310728,1,0.0260737903804661,2.54038196179415e-10,0.349755370607499,0.855033083520039,0.999091867811131,0.939530785988175,0.63842545913789,0.901800681203356,0.366285332015729,4.5611495753019e-08,1.11724426010585e-11,0.79378581321058,0.505411454524796,0.287519021613751,0.00388608047717685,0.717093688802558,0.242361320501732,0.235890416836643,0.184724951359852,0.997371516146592,0.783664343682633
PTHR32118,0.973735954829673,0.944049508768103,2.18685092546947e-07,1,0.871505474293428,0.809140545437351,0.982410358434356,2.83634822914603e-06,0.00769391161128434,0.369811848044826,0.998679406703835,0.720601019718464,0.0023292425130635,0.936339182041936,0.996895775679135,0.064855102966662,0.957352130617471,0.211148932071699,0.866334216914777,4.14114411990747e-24,1,0.996763080636995,0.996340003537317,1,1,0.54567548325684,0.965267496501593,0.644566123950085,0.000737931386491675,0.142717135081052,0.241838962720351,2.84042713094401e-05,1,0.0527520139034001,1,0.247635153534291,6.12000974281849e-09,2.27336205939795e-05,0.00373776686544898,0.999091867811131,0.00115081258715987,0.421491776728513,0.855285964505233,0.943584685093876,1.28116508702306e-06,7.84539906617913e-12,0.38048213437843,0.505411454524796,3.70496735252301e-27,0.790132995779519,0.173696661357437,0.000165613304865326,0.124139800935725,0.0276934037407935,0.245654406545885,0.966156424029011
PTHR19359,0.322178457803682,0.955488294196137,0.00698605841947623,1,0.0234853035491337,0.0851184090451254,0.982410358434356,0.580320900646601,0.00542172255919544,0.0753487162749422,0.998679406703835,0.841578290161479,4.62237014170761e-05,0.750099360777708,0.221470079508867,1,0.415512796080999,0.557338458150351,0.980587682269183,0.00897479487129472,1,0.270787970775712,0.922316798323877,1,1,0.839501558798774,1.08287354384941e-05,0.961472761960861,0.576380359450752,0.567379413972337,0.00209869213560925,0.00405945340914424,1,0.000693194716450408,1,0.709999873474635,0.027450519975117,0.558002017376342,0.394412948791912,0.361101485291008,0.145857611293496,0.092331108884563,0.855285964505233,6.4611382106097e-06,0.00383364011224151,7.75296310094262e-07,0.363585240215638,0.0360792753589191,0.152496792033333,0.0775063627557389,0.0173664979880728,0.997654860728143,0.0887845330505738,0.845034792863216,0.502502608735391,0.461566382526436
PTHR31089,0.904568335968694,0.889299819357757,0.181901753915438,1,0.617660424233282,0.107331328644607,0.98919657412914,0.688947329720644,0.554549602162514,0.383154621545199,0.998679406703835,0.120751026909924,0.860915103642908,0.252655344766093,0.966358349211597,0.183697029281597,0.77665353915749,0.286638825589571,0.86717833993507,1.25470410481801e-08,1,0.836507540537279,0.974244051151313,0.658530993868482,1,0.570768632262894,0.827832667935069,1,0.155587873758975,0.169088019459167,0.817333003829089,0.326325523653884,0.0428885285993659,0.0707723590792482,0.0040503207766374,0.710000083179132,3.7986296346005e-08,0.560703415129187,0.00530464913284327,0.233983443478705,0.928210453441342,0.198341853833223,0.855285964505233,0.110321675844689,0.0255529321619902,0.0341721148340968,0.831267395433393,0.0386716942091534,0.164642777792125,1,0.843619721806886,0.608925314845103,0.612897563950508,0.856455280933895,0.997371516146592,0.666197082687927
PTHR13476,0.515856339296795,0.990207257709275,0.859210378545325,1,0.740215302777141,0.517302775366443,0.891151033734943,0.893883176402171,0.950043706319391,0.934817519340811,0.998679406703835,0.672828390444402,0.563722959533212,0.687356663651768,0.996895775679135,0.462206460998186,0.983071030520894,0.155753433076045,0.980587682269183,0.387076002429148,1,0.986304026555725,0.974244051151313,1,1,0.341323109607513,1,0.985957897878818,0.574007087951466,0.0247008492931525,1,0.00123690873269961,1,0.0570772793132231,1,1,8.37296195750476e-09,0.640765751682374,0.882909422818747,0.983138788016163,1,0.355598568906478,0.855285964505233,4.9652561596043e-05,0.0486956687773808,1.90978134953331e-08,0.872133706761159,0.00252357202215643,0.060713335911857,0.758354180113593,0.533424020904342,0.67227107816108,0.9667427663965,0.658460280715764,0.983784670751746,0.731924538166627
PTHR31085,0.070612379627417,0.995917180347111,0.835695508306913,1,0.222364781878723,1,0.98919657412914,0.516888237358664,0.722012371654235,0.820128069530743,0.998679406703835,0.938546236465966,3.77673762733366e-12,0.959931293845843,0.996895775679135,0.931647035697411,0.957352130617471,0.886706670620562,0.920929410451419,0.237706837895105,1,0.986304026555725,0.982269445120979,1,1,0.763914601015602,1,1,0.40956036110255,0.0133602975033118,1,0.0826005401344886,1,0.00237033520276586,1,0.97144180467333,0.430440220190687,0.783651989018996,0.88650136499003,0.830784578013528,0.435831976749996,0.476866296818526,1,0.77616715624558,0.00012084063907355,0.0003763522305437,0.928779906029637,0.0230341752049463,0.769784633174056,0.418174815713418,0.717093688802558,0.886462598865975,0.757412569483166,0.587145841403977,0.896236551106549,0.948811409961019
PTHR19957,0.00385473281765435,0.998696127604156,0.364473085321645,1,0.114054654523938,0.770584877183007,0.982410358434356,0.687086092083495,0.209908804038522,0.952474531836156,0.998679406703835,0.867116955228632,0.00435857235596412,0.167143179806369,0.996895775679135,0.869726626180216,0.943510426376468,0.885535886636597,0.867247553854554,0.755268393778051,1,0.773626624660674,0.974244051151313,1,1,0.556980853168877,1,0.926576937259936,0.753190507644146,0.000480645320661943,1,0.0175631274735296,1,0.299818234973355,1,0.378029042165056,5.46492227715483e-08,0.475581853110437,0.934939278475438,0.779598154188364,0.765104077500247,0.63281237268671,0.862153702674374,0.139197588462719,0.00102643963172115,0.846662080247006,0.754600230493555,0.372851634225871,0.299227684837848,0.0257929913015572,0.685179162091448,0.831718369036903,0.426531919100587,0.927017227155042,1,0.832034815800286
PTHR12561,0.544821338711192,1,1.90033385494701e-05,1,0.95057836248843,0.709000761815214,0.970547848080746,0.203144828434769,0.113316952433766,0.994462407627378,0.998679406703835,0.811348548251107,0.139590929912753,0.107632385913898,0.966358349211597,0.679972710145623,0.767748126991422,0.1816013432016,0.546543100567861,0.0114800876099949,1,0.986304026555725,0.993428516535362,1,1,0.277296302496797,1,0.853900653045578,0.549277674585714,9.3110031158588e-06,1,0.09213112367905,1,0.463353244705739,1,0.93491544472109,0.00800293729968879,0.0445900349779362,0.851560583517586,0.661977724532758,0.358672883399231,0.917359761291507,0.855285964505233,0.390385157861818,4.00195827705876e-09,0.00132705537006743,0.236088982994076,0.568716507881638,0.0207554472270682,0.847164469486522,0.437708036120939,0.813847499985768,0.565323884545435,0.0897947085374992,0.997371516146592,1
PTHR12560,0.207807047156536,0.995917180347111,0.787502963653433,1,0.81853708379515,0.096875935309776,0.982410358434356,0.847152426491206,0.665557256007468,0.977374664014164,0.998679406703835,1,6.06564074462278e-05,0.0623184692206409,1,0.928587410587213,0.990456621157653,0.301664510626264,0.905606473738816,0.0078201480589329,1,0.986304026555725,0.974244051151313,1,1,0.864781573844722,1,0.723770814013811,0.893119786507158,3.211966329111e-10,0.54227113059528,0.000584905765189646,1,0.414265258814094,1,0.161571794669556,1.98952289518451e-12,0.212378251878862,0.604699205582817,0.999091867811131,0.73498634126383,0.504751774039093,0.855285964505233,0.324600272853109,2.03686559043185e-12,0.00362021863267593,0.956488795111373,0.161736454729661,0.792161532269792,0.42566388515693,0.435501879587151,0.439060454303656,0.245781589670604,0.96126183904784,0.812192510256824,1
PTHR22780,0.0061236254871995,0.995917180347111,0.399836434605177,1,0.172595074611035,0.0896372397209163,0.993778830988706,0.971224537156503,0.198841323669986,0.967422577828065,0.998679406703835,0.659652079892884,0.00013012083062353,0.98752046948295,0.996895775679135,0.517521715803957,0.911666127674681,0.167693776793005,0.948847354176567,0.00133136711870608,1,0.986304026555725,0.974244051151313,1,1,0.47172118329306,1,1,0.0717233798648472,5.17262008692701e-07,0.977092367296489,0.000448517783390124,1,0.672933412446387,1,0.198922128589395,0.647113897375896,0.379345057143347,0.99124199051253,0.999091867811131,0.087187010815648,0.933867252632551,0.8842588740421,0.789482549144939,2.2679498786383e-07,0.000103071860871067,0.49094516424343,0.0520029699589816,4.61121764328372e-05,0.0257929913015572,0.415121415857928,0.214150748584959,0.459849422723725,0.1384503455695,0.741353874761715,0.273912617551336
